photons_per_sample,true_material,predicted_material,count,mean_score_margin,dev_centroid_distance,top3_contains_true_rate
200,Hematite,Chalcopyrite,44,0.1546212121212121,1.0194550642682199,0.7727272727272727
200,Orthoclase,Dolomite,43,0.2172674418604651,1.352103413263667,1.0
200,Chalcopyrite,Pyrite,42,0.21148809523809525,1.3571219577951963,1.0
200,Albite,Quartz,36,0.08826388888888888,0.7229126388750853,1.0
200,Pyrite,Chalcopyrite,34,0.14608455882352941,1.3571219577951963,0.7352941176470589
200,Orthoclase,Quartz,24,0.08968749999999999,1.944153378837237,1.0
200,Chalcopyrite,Hematite,22,0.036780303030303024,1.0194550642682199,1.0
200,Quartz,Orthoclase,22,0.16670454545454547,1.944153378837237,1.0
200,Dolomite,Orthoclase,20,0.2045,1.352103413263667,0.85
200,Calcite,Dolomite,17,0.28308823529411764,2.2249976526473993,1.0
200,Dolomite,Calcite,17,0.2138235294117647,2.2249976526473993,1.0
200,Chalcopyrite,Magnetite,15,0.04902777777777778,1.0574415945756341,0.9333333333333333
200,Orthoclase,Albite,12,0.06187499999999999,2.5223189779968807,1.0
200,Hematite,Pyrite,9,0.155,1.6106412945681445,0.4444444444444444
200,Pyrite,Magnetite,8,0.04018229166666667,1.6594863146093257,0.125
200,Magnetite,Pyrite,6,0.09750000000000002,1.6594863146093257,0.3333333333333333
200,Pyrite,Hematite,6,0.030833333333333324,1.6106412945681445,0.0
200,Albite,Orthoclase,5,0.1165,2.5223189779968807,0.8
200,Quartz,Dolomite,2,0.30875,2.8354848483006303,1.0
200,Albite,Dolomite,1,0.19,3.4040415699842392,0.0
500,Magnetite,Hematite,29,0.07310344827586207,0.23525754997412107,1.0
500,Quartz,Albite,29,0.1725862068965517,0.9107122542043949,1.0
500,Hematite,Magnetite,26,0.09201923076923076,0.23525754997412107,1.0
500,Chalcopyrite,Pyrite,17,0.1692647058823529,1.6406983465843372,1.0
500,Albite,Quartz,14,0.10696428571428569,0.9107122542043949,0.9285714285714286
500,Pyrite,Chalcopyrite,9,0.2136111111111111,1.6406983465843372,1.0
500,Hematite,Chalcopyrite,8,0.27781249999999996,1.164011561930099,0.875
500,Orthoclase,Dolomite,8,0.24625,1.4576127765420217,1.0
500,Magnetite,Chalcopyrite,7,0.31,1.2145679299670336,0.7142857142857143
500,Dolomite,Orthoclase,6,0.17416666666666666,1.4576127765420217,1.0
500,Chalcopyrite,Hematite,3,0.07833333333333335,1.164011561930099,1.0
500,Chalcopyrite,Magnetite,3,0.04916666666666667,1.2145679299670336,1.0
500,Dolomite,Calcite,2,0.09124999999999997,2.459385029292165,1.0
500,Quartz,Orthoclase,2,0.09875,2.1816984854015,1.0
500,Calcite,Dolomite,1,0.18749999999999994,2.459385029292165,1.0
1000,Hematite,Magnetite,20,0.0945,0.3174784470536736,1.0
1000,Quartz,Albite,14,0.2030357142857143,1.0513246676753758,1.0
1000,Magnetite,Hematite,10,0.05250000000000001,0.3174784470536736,1.0
1000,Albite,Quartz,4,0.188125,1.0513246676753758,1.0
1000,Pyrite,Chalcopyrite,4,0.205625,1.8290823744109197,1.0
1000,Dolomite,Orthoclase,2,0.10124999999999998,1.5878416137686124,1.0
1000,Chalcopyrite,Pyrite,1,0.0625,1.8290823744109197,1.0
1000,Hematite,Chalcopyrite,1,0.5025000000000001,1.3440578335720879,1.0
1000,Magnetite,Chalcopyrite,1,0.53,1.359121794366743,1.0
1000,Orthoclase,Dolomite,1,0.034999999999999976,1.5878416137686124,1.0
1000,Quartz,Orthoclase,1,0.012500000000000011,2.4020202543087543,1.0
