profile,run_role,material,source_id,source_mode,mono_energy_keV,thickness_mm,random_seed,expected_events,config_path,output_prefix,output_dir
es2,material,Quartz,mono_100kev,mono,100.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_quartz_mono_100kev_10mm_seed101.txt,ms_es2_quartz_mono_100kev_10mm_seed101,material_sorting_runs/es2
es2,material,Quartz,mono_100kev,mono,100.0,10.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_quartz_mono_100kev_10mm_seed202.txt,ms_es2_quartz_mono_100kev_10mm_seed202,material_sorting_runs/es2
es2,material,Quartz,mono_110kev,mono,110.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_quartz_mono_110kev_10mm_seed101.txt,ms_es2_quartz_mono_110kev_10mm_seed101,material_sorting_runs/es2
es2,material,Quartz,mono_110kev,mono,110.0,10.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_quartz_mono_110kev_10mm_seed202.txt,ms_es2_quartz_mono_110kev_10mm_seed202,material_sorting_runs/es2
es2,material,Quartz,mono_120kev,mono,120.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_quartz_mono_120kev_10mm_seed101.txt,ms_es2_quartz_mono_120kev_10mm_seed101,material_sorting_runs/es2
es2,material,Quartz,mono_120kev,mono,120.0,10.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_quartz_mono_120kev_10mm_seed202.txt,ms_es2_quartz_mono_120kev_10mm_seed202,material_sorting_runs/es2
es2,material,Quartz,mono_150kev,mono,150.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_quartz_mono_150kev_10mm_seed101.txt,ms_es2_quartz_mono_150kev_10mm_seed101,material_sorting_runs/es2
es2,material,Quartz,mono_150kev,mono,150.0,10.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_quartz_mono_150kev_10mm_seed202.txt,ms_es2_quartz_mono_150kev_10mm_seed202,material_sorting_runs/es2
es2,material,Quartz,mono_200kev,mono,200.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_quartz_mono_200kev_10mm_seed101.txt,ms_es2_quartz_mono_200kev_10mm_seed101,material_sorting_runs/es2
es2,material,Quartz,mono_200kev,mono,200.0,10.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_quartz_mono_200kev_10mm_seed202.txt,ms_es2_quartz_mono_200kev_10mm_seed202,material_sorting_runs/es2
es2,material,Calcite,mono_30kev,mono,30.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calcite_mono_30kev_10mm_seed101.txt,ms_es2_calcite_mono_30kev_10mm_seed101,material_sorting_runs/es2
es2,material,Calcite,mono_30kev,mono,30.0,10.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calcite_mono_30kev_10mm_seed202.txt,ms_es2_calcite_mono_30kev_10mm_seed202,material_sorting_runs/es2
es2,material,Calcite,mono_40kev,mono,40.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calcite_mono_40kev_10mm_seed101.txt,ms_es2_calcite_mono_40kev_10mm_seed101,material_sorting_runs/es2
