material,source_id,thickness_mm,random_seed,run_id,sample_id,n_events,event_id_min,event_id_max,edep_sum,edep_mean,edep_std,edep_max,detector_gamma_sum,primary_gamma_sum,nonzero_edep_rate,detector_gamma_rate,primary_transmission_rate,hit_count,hit_energy_mean,hit_energy_std,hit_energy_min,hit_energy_max,primary_hit_rate,direct_primary_count,scattered_primary_count,theta_mean,theta_std,y_mean,y_std,z_mean,z_std,r_mean,r_std,e_lt40_count,e_40_80_count,e_ge80_count,hit_count_rate,direct_primary_count_rate,scattered_primary_count_rate,e_lt40_count_rate,e_40_80_count_rate,e_ge80_count_rate,scatter_direct_ratio
Pyrite,spectrum_120kv,10.0,0,legacy_pyrite,15,100,1500,1599,0.0,0.0,0.0,0.0,7,7,0.0,0.07,0.07,7.0,86.64285714285714,13.740797786501476,73.5,108.5,1.0,7.0,0.0,0.0,0.0,0.3300805714285714,2.7972316684200984,0.7020765714285714,2.779917089607222,3.376323211506659,1.7190505161275091,0.0,3.0,4.0,0.07,0.07,0.0,0.0,0.03,0.04,0.0
Pyrite,spectrum_120kv,10.0,0,legacy_pyrite,16,100,1600,1699,8.482528,0.08482528,0.8482528000000001,8.482528,3,3,0.01,0.03,0.03,3.0,79.16666666666667,27.934447074057747,54.5,109.5,1.0,3.0,0.0,0.0,0.0,1.985021,2.613870153783657,2.6459576666666664,2.723445464831329,3.912074952540325,2.7758020905066196,0.0,2.0,1.0,0.03,0.03,0.0,0.0,0.02,0.01,0.0
Pyrite,spectrum_120kv,10.0,0,legacy_pyrite,17,100,1700,1799,69.5,0.695,6.95,69.5,4,4,0.01,0.04,0.04,4.0,96.25,22.246722605064026,69.5,116.5,1.0,2.0,2.0,5.483047,7.7180710608477385,5.066028749999999,30.616857617962477,-11.488401500000002,30.014929321398693,27.661730740497944,32.066444209621565,0.0,1.0,3.0,0.04,0.02,0.02,0.0,0.01,0.03,0.99999950000025
Pyrite,spectrum_120kv,10.0,0,legacy_pyrite,18,100,1800,1899,22.672429,0.22672429000000002,2.2672429,22.672429,4,4,0.01,0.04,0.04,4.0,90.4139855,9.713123252083978,77.155942,100.5,1.0,2.0,2.0,7.4508805,10.05677832978549,-27.517479249999997,44.6696662894833,-10.1589365,17.57377959287477,34.96451263096109,42.67803686923962,0.0,1.0,3.0,0.04,0.02,0.02,0.0,0.01,0.03,0.99999950000025
Pyrite,spectrum_120kv,10.0,0,legacy_pyrite,19,100,1900,1999,0.0,0.0,0.0,0.0,6,6,0.0,0.06,0.06,6.0,75.5,14.477568856683085,54.5,99.5,1.0,5.0,1.0,0.9246854999999999,2.2650076475503345,3.4948908333333333,8.891532753328583,-2.4058246666666667,3.8259941331730594,6.157629888030999,8.354675572481163,0.0,5.0,1.0,0.06,0.05,0.01,0.0,0.05,0.01,0.199999960000008
Pyrite,spectrum_120kv,10.0,0,legacy_pyrite,20,100,2000,2099,116.974073,1.16974073,8.134525251555885,76.5,6,6,0.03,0.06,0.06,6.0,82.5,18.04438970982394,61.5,103.5,1.0,5.0,1.0,0.6155208333333334,1.5077119677193542,0.12521300000000016,5.350404928929324,-4.126112666666667,4.816282358493973,6.099832289053375,5.255705923549476,0.0,3.0,3.0,0.06,0.05,0.01,0.0,0.03,0.03,0.199999960000008
Pyrite,spectrum_120kv,10.0,0,legacy_pyrite,21,100,2100,2199,0.0,0.0,0.0,0.0,3,3,0.0,0.03,0.03,3.0,75.83333333333333,7.234178138070236,67.5,80.5,1.0,2.0,1.0,4.825707,8.358369706440785,11.959787666666665,24.67180182019275,-18.029253,23.154595705287647,23.67081777898532,31.725500988888133,0.0,2.0,1.0,0.03,0.02,0.01,0.0,0.02,0.01,0.499999750000125
Pyrite,spectrum_120kv,10.0,0,legacy_pyrite,22,100,2200,2299,135.0,1.35,9.498670826739263,68.5,4,4,0.02,0.04,0.04,4.0,79.49748625000001,15.336208525656627,66.5,99.489945,1.0,3.0,1.0,4.35815225,8.7163045,1.687819,2.3394449201305565,-20.030846,39.359180772410355,21.568578924119198,38.381306436922635,0.0,2.0,2.0,0.04,0.03,0.01,0.0,0.02,0.02,0.33333322222225925
Pyrite,spectrum_120kv,10.0,0,legacy_pyrite,23,100,2300,2399,63.5,0.635,6.35,63.5,6,6,0.01,0.06,0.06,6.0,83.33746083333334,17.386980873176462,63.5,102.5,1.0,5.0,1.0,2.5162455,6.16351754257433,6.236564333333334,11.779841552663443,-7.852561166666668,23.974939544121575,13.849748267726824,24.57748364920449,0.0,3.0,3.0,0.06,0.05,0.01,0.0,0.03,0.03,0.199999960000008
Pyrite,spectrum_120kv,10.0,0,legacy_pyrite,24,100,2400,2499,16.350149000000002,0.16350149000000003,1.4987846769326105,14.935207,6,6,0.02,0.06,0.06,6.0,81.33333333333333,8.542052836799048,67.5,89.5,1.0,3.0,3.0,6.895398833333334,7.655431972092402,26.736367666666666,28.91000396092668,-15.315274333333335,16.52167687265166,32.325717971752475,31.529047964264592,0.0,2.0,4.0,0.06,0.03,0.03,0.0,0.02,0.04,0.9999996666667778
Pyrite,spectrum_120kv,10.0,0,legacy_pyrite,25,100,2500,2599,0.0,0.0,0.0,0.0,3,3,0.0,0.03,0.03,3.0,72.04218766666666,16.504564774560293,53.5,85.126563,1.0,2.0,1.0,2.4171796666666667,4.186677993689069,9.283554666666666,19.754337582289015,-0.294808,4.09759307947861,13.071679833642458,16.737020354857776,0.0,2.0,1.0,0.03,0.02,0.01,0.0,0.02,0.01,0.499999750000125
Pyrite,spectrum_120kv,10.0,0,legacy_pyrite,26,100,2600,2699,0.0,0.0,0.0,0.0,2,2,0.0,0.02,0.02,2.0,72.55988550000001,12.643231175068356,63.619771,81.5,1.0,1.0,1.0,10.967791,15.510798781473571,45.095911,63.2251877502579,-15.9849615,18.624825628034227,48.62943435492342,64.75326316505785,0.0,1.0,1.0,0.02,0.01,0.01,0.0,0.01,0.01,0.9999990000010001
Pyrite,spectrum_120kv,10.0,0,legacy_pyrite,27,100,2700,2799,23.683273999999997,0.23683273999999999,1.666983309583086,12.205466,8,8,0.02,0.08,0.08,8.0,92.875,19.485800691052663,66.5,118.5,1.0,7.0,1.0,1.30935275,3.7034088339610167,4.0003595,15.916806312832492,-2.31580275,5.418914772898187,9.164187092401692,14.530920092517775,0.0,3.0,5.0,0.08,0.07,0.01,0.0,0.03,0.05,0.1428571224489825
Pyrite,spectrum_120kv,10.0,0,legacy_pyrite,28,100,2800,2899,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pyrite,spectrum_120kv,10.0,0,legacy_pyrite,29,100,2900,2999,70.5,0.705,7.05,70.5,7,7,0.01,0.07,0.07,7.0,84.64285714285714,16.47653454086115,55.5,105.5,1.0,6.0,1.0,1.8962341428571428,5.016963969549726,-2.855661857142857,11.838618197860994,7.752369285714287,17.362594147185167,11.238862320582431,19.33593111968622,0.0,2.0,5.0,0.07,0.06,0.01,0.0,0.02,0.05,0.16666663888889352
Pyrite,spectrum_120kv,10.0,0,legacy_pyrite,30,100,3000,3099,0.0,0.0,0.0,0.0,3,3,0.0,0.03,0.03,3.0,79.83333333333333,19.65536398374076,67.5,102.5,1.0,2.0,1.0,3.9215553333333335,6.792333082026038,11.899651,27.484502912477407,-7.037548666666666,7.93328572962252,18.770897142850654,24.010585816028044,0.0,2.0,1.0,0.03,0.02,0.01,0.0,0.02,0.01,0.499999750000125
Pyrite,spectrum_120kv,10.0,0,legacy_pyrite,31,100,3100,3199,20.454156,0.20454156,2.045415600000001,20.454156,5,5,0.01,0.05,0.05,5.0,93.3,17.73978579352073,70.5,114.5,1.0,5.0,0.0,0.0,0.0,-0.26687099999999997,0.8335137852294345,-3.249956,1.0160016376495167,3.3531604791510126,0.9819321386531447,0.0,1.0,4.0,0.05,0.05,0.0,0.0,0.01,0.04,0.0
Pyrite,spectrum_120kv,10.0,0,legacy_pyrite,32,100,3200,3299,16.657639,0.16657639,1.6549553795485066,16.55029,7,7,0.02,0.07,0.07,7.0,80.5,16.482313753434823,60.5,103.5,1.0,5.0,2.0,2.471772714285714,4.221406646946991,-11.556798857142857,17.2415016161618,-5.635663285714286,9.640537685700552,14.522952928013835,18.357945783378742,0.0,4.0,3.0,0.07,0.05,0.02,0.0,0.04,0.03,0.399999920000016
Pyrite,spectrum_120kv,10.0,0,legacy_pyrite,33,100,3300,3399,37.919367,0.37919367000000004,3.7919367000000004,37.919367,4,4,0.01,0.04,0.04,4.0,90.99561325,23.23563759919165,71.482453,117.5,1.0,3.0,1.0,1.2966585,2.593317,-5.73330275,9.817556825216117,-3.7457875,4.579580061640915,7.355302486532674,10.380683434014353,0.0,2.0,2.0,0.04,0.03,0.01,0.0,0.02,0.02,0.33333322222225925
Pyrite,spectrum_120kv,10.0,0,legacy_pyrite,34,100,3400,3499,0.0,0.0,0.0,0.0,2,2,0.0,0.02,0.02,2.0,80.0,7.7781745930520225,74.5,85.5,1.0,0.0,2.0,7.0677330000000005,0.13097456065205923,17.3321955,3.036942307916386,-27.7411505,0.5898932256031592,32.749692496315106,2.1069264867503565,0.0,1.0,1.0,0.02,0.0,0.02,0.0,0.01,0.01,2000000.0
Pyrite,spectrum_120kv,10.0,0,legacy_pyrite,35,100,3500,3599,0.794345,0.00794345,0.0794345,0.794345,5,5,0.01,0.05,0.05,5.0,80.3988058,20.86757449562762,57.5,111.994029,1.0,2.0,3.0,8.8042096,9.464087565599565,-25.2836164,32.89547396468821,8.814239200000001,44.65163643301169,42.45819539843736,41.45718256905471,0.0,3.0,2.0,0.05,0.02,0.03,0.0,0.03,0.02,1.499999250000375
Pyrite,spectrum_120kv,10.0,0,legacy_pyrite,36,100,3600,3699,15.178075,0.15178075,1.5178075000000002,15.178075,5,5,0.01,0.05,0.05,5.0,98.3,18.130085493455347,75.5,114.5,1.0,5.0,0.0,0.0,0.0,0.1247566,3.059739672786608,0.9372562,3.3292906433013174,3.9077855738142246,1.5732815009597907,0.0,1.0,4.0,0.05,0.05,0.0,0.0,0.01,0.04,0.0
Pyrite,spectrum_120kv,10.0,0,legacy_pyrite,37,100,3700,3799,0.120796,0.0012079600000000001,0.0120796,0.120796,9,9,0.01,0.09,0.09,9.0,88.94444444444444,15.330615701196667,63.5,115.5,1.0,8.0,1.0,1.6970043333333333,5.091013,8.652559777777777,21.524920195266088,1.9409393333333331,5.872948532975769,10.603756153860395,21.442537267563928,0.0,2.0,7.0,0.09,0.08,0.01,0.0,0.02,0.07,0.12499998437500197
Pyrite,spectrum_120kv,10.0,0,legacy_pyrite,38,100,3800,3899,0.0,0.0,0.0,0.0,2,2,0.0,0.02,0.02,2.0,89.5,15.556349186104045,78.5,100.5,1.0,0.0,2.0,3.9136565,1.1118511672038216,6.4135765,6.482516674933008,-7.165488000000001,20.14585403366658,17.28401572948031,5.94646292443934,0.0,1.0,1.0,0.02,0.0,0.02,0.0,0.01,0.01,2000000.0
Pyrite,spectrum_120kv,10.0,0,legacy_pyrite,39,100,3900,3999,4.76624,0.0476624,0.47662400000000005,4.76624,5,5,0.01,0.05,0.05,5.0,92.3,9.038805230781335,82.5,103.5,1.0,4.0,1.0,3.1041152,6.941012597190356,13.7938806,29.77283543509814,4.7507968,10.746659269084402,16.19524031727409,30.66115897068865,0.0,0.0,5.0,0.05,0.04,0.01,0.0,0.0,0.05,0.24999993750001562
Pyrite,spectrum_120kv,10.0,0,legacy_pyrite,40,100,4000,4099,256.620965,2.5662096500000002,14.593463053590959,98.5,8,8,0.04,0.08,0.08,8.0,87.0,9.710083124552247,74.5,99.5,1.0,6.0,2.0,5.066898625,9.397234731927153,-5.532802625,33.65083509928962,10.022545875,31.770854217846633,24.994057253425755,39.7190933323509,0.0,2.0,6.0,0.08,0.06,0.02,0.0,0.02,0.06,0.33333327777778704
Pyrite,spectrum_120kv,10.0,0,legacy_pyrite,41,100,4100,4199,0.0,0.0,0.0,0.0,6,6,0.0,0.06,0.06,6.0,74.0,12.07890723534211,60.5,91.5,1.0,5.0,1.0,1.8385676666666668,4.503552640912802,-2.242504,1.1921527579834725,7.293407333333334,21.12775128464469,11.059139350466905,19.2588879325999,0.0,4.0,2.0,0.06,0.05,0.01,0.0,0.04,0.02,0.199999960000008
