row_index,profile,run_role,material,source_id,thickness_mm,random_seed,returncode,elapsed_seconds,config_path,output_prefix
49,es2,material,Calcite,mono_30kev,10.0,202,0,5.059,source_models/config/material_sorting_matrix/es2/ms_es2_calcite_mono_30kev_10mm_seed202.txt,ms_es2_calcite_mono_30kev_10mm_seed202
50,es2,material,Calcite,mono_40kev,10.0,101,0,6.324,source_models/config/material_sorting_matrix/es2/ms_es2_calcite_mono_40kev_10mm_seed101.txt,ms_es2_calcite_mono_40kev_10mm_seed101
51,es2,material,Calcite,mono_40kev,10.0,202,0,6.579,source_models/config/material_sorting_matrix/es2/ms_es2_calcite_mono_40kev_10mm_seed202.txt,ms_es2_calcite_mono_40kev_10mm_seed202
52,es2,material,Calcite,mono_50kev,10.0,101,0,7.989,source_models/config/material_sorting_matrix/es2/ms_es2_calcite_mono_50kev_10mm_seed101.txt,ms_es2_calcite_mono_50kev_10mm_seed101
53,es2,material,Calcite,mono_50kev,10.0,202,0,7.585,source_models/config/material_sorting_matrix/es2/ms_es2_calcite_mono_50kev_10mm_seed202.txt,ms_es2_calcite_mono_50kev_10mm_seed202
54,es2,material,Calcite,mono_60kev,10.0,101,0,8.714,source_models/config/material_sorting_matrix/es2/ms_es2_calcite_mono_60kev_10mm_seed101.txt,ms_es2_calcite_mono_60kev_10mm_seed101
55,es2,material,Calcite,mono_60kev,10.0,202,0,6.643,source_models/config/material_sorting_matrix/es2/ms_es2_calcite_mono_60kev_10mm_seed202.txt,ms_es2_calcite_mono_60kev_10mm_seed202
56,es2,material,Calcite,mono_70kev,10.0,101,0,5.874,source_models/config/material_sorting_matrix/es2/ms_es2_calcite_mono_70kev_10mm_seed101.txt,ms_es2_calcite_mono_70kev_10mm_seed101
57,es2,material,Calcite,mono_70kev,10.0,202,0,7.303,source_models/config/material_sorting_matrix/es2/ms_es2_calcite_mono_70kev_10mm_seed202.txt,ms_es2_calcite_mono_70kev_10mm_seed202
58,es2,material,Calcite,mono_80kev,10.0,101,0,6.880,source_models/config/material_sorting_matrix/es2/ms_es2_calcite_mono_80kev_10mm_seed101.txt,ms_es2_calcite_mono_80kev_10mm_seed101
59,es2,material,Calcite,mono_80kev,10.0,202,0,5.528,source_models/config/material_sorting_matrix/es2/ms_es2_calcite_mono_80kev_10mm_seed202.txt,ms_es2_calcite_mono_80kev_10mm_seed202
60,es2,material,Calcite,mono_90kev,10.0,101,0,5.855,source_models/config/material_sorting_matrix/es2/ms_es2_calcite_mono_90kev_10mm_seed101.txt,ms_es2_calcite_mono_90kev_10mm_seed101
61,es2,material,Calcite,mono_90kev,10.0,202,0,6.345,source_models/config/material_sorting_matrix/es2/ms_es2_calcite_mono_90kev_10mm_seed202.txt,ms_es2_calcite_mono_90kev_10mm_seed202
62,es2,material,Calcite,mono_100kev,10.0,101,0,6.296,source_models/config/material_sorting_matrix/es2/ms_es2_calcite_mono_100kev_10mm_seed101.txt,ms_es2_calcite_mono_100kev_10mm_seed101
63,es2,material,Calcite,mono_100kev,10.0,202,0,6.080,source_models/config/material_sorting_matrix/es2/ms_es2_calcite_mono_100kev_10mm_seed202.txt,ms_es2_calcite_mono_100kev_10mm_seed202
