row_index,profile,run_role,material,source_id,thickness_mm,random_seed,returncode,elapsed_seconds,config_path,output_prefix
53,selected_rebuild,material,Quartz,mono_50kev,20.0,404,0,2.972,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_50kev_20mm_seed404.txt,ms_selected_rebuild_quartz_mono_50kev_20mm_seed404
54,selected_rebuild,material,Quartz,mono_50kev,20.0,505,0,3.244,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_50kev_20mm_seed505.txt,ms_selected_rebuild_quartz_mono_50kev_20mm_seed505
55,selected_rebuild,material,Quartz,mono_120kev,20.0,101,0,2.917,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_120kev_20mm_seed101.txt,ms_selected_rebuild_quartz_mono_120kev_20mm_seed101
56,selected_rebuild,material,Quartz,mono_120kev,20.0,202,0,2.930,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_120kev_20mm_seed202.txt,ms_selected_rebuild_quartz_mono_120kev_20mm_seed202
57,selected_rebuild,material,Quartz,mono_120kev,20.0,303,0,2.808,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_120kev_20mm_seed303.txt,ms_selected_rebuild_quartz_mono_120kev_20mm_seed303
58,selected_rebuild,material,Quartz,mono_120kev,20.0,404,0,2.973,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_120kev_20mm_seed404.txt,ms_selected_rebuild_quartz_mono_120kev_20mm_seed404
59,selected_rebuild,material,Quartz,mono_120kev,20.0,505,0,2.932,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_quartz_mono_120kev_20mm_seed505.txt,ms_selected_rebuild_quartz_mono_120kev_20mm_seed505
60,selected_rebuild,material,Calcite,mono_40kev,5.0,101,0,2.935,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calcite_mono_40kev_5mm_seed101.txt,ms_selected_rebuild_calcite_mono_40kev_5mm_seed101
61,selected_rebuild,material,Calcite,mono_40kev,5.0,202,0,2.899,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calcite_mono_40kev_5mm_seed202.txt,ms_selected_rebuild_calcite_mono_40kev_5mm_seed202
62,selected_rebuild,material,Calcite,mono_40kev,5.0,303,0,3.103,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calcite_mono_40kev_5mm_seed303.txt,ms_selected_rebuild_calcite_mono_40kev_5mm_seed303
63,selected_rebuild,material,Calcite,mono_40kev,5.0,404,0,3.384,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calcite_mono_40kev_5mm_seed404.txt,ms_selected_rebuild_calcite_mono_40kev_5mm_seed404
64,selected_rebuild,material,Calcite,mono_40kev,5.0,505,0,3.131,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calcite_mono_40kev_5mm_seed505.txt,ms_selected_rebuild_calcite_mono_40kev_5mm_seed505
65,selected_rebuild,material,Calcite,mono_50kev,5.0,101,0,3.241,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calcite_mono_50kev_5mm_seed101.txt,ms_selected_rebuild_calcite_mono_50kev_5mm_seed101
66,selected_rebuild,material,Calcite,mono_50kev,5.0,202,0,3.026,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calcite_mono_50kev_5mm_seed202.txt,ms_selected_rebuild_calcite_mono_50kev_5mm_seed202
67,selected_rebuild,material,Calcite,mono_50kev,5.0,303,0,2.936,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calcite_mono_50kev_5mm_seed303.txt,ms_selected_rebuild_calcite_mono_50kev_5mm_seed303
68,selected_rebuild,material,Calcite,mono_50kev,5.0,404,0,3.015,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calcite_mono_50kev_5mm_seed404.txt,ms_selected_rebuild_calcite_mono_50kev_5mm_seed404
69,selected_rebuild,material,Calcite,mono_50kev,5.0,505,0,3.044,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calcite_mono_50kev_5mm_seed505.txt,ms_selected_rebuild_calcite_mono_50kev_5mm_seed505
70,selected_rebuild,material,Calcite,mono_120kev,5.0,101,0,2.917,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calcite_mono_120kev_5mm_seed101.txt,ms_selected_rebuild_calcite_mono_120kev_5mm_seed101
71,selected_rebuild,material,Calcite,mono_120kev,5.0,202,0,2.858,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calcite_mono_120kev_5mm_seed202.txt,ms_selected_rebuild_calcite_mono_120kev_5mm_seed202
72,selected_rebuild,material,Calcite,mono_120kev,5.0,303,0,2.887,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calcite_mono_120kev_5mm_seed303.txt,ms_selected_rebuild_calcite_mono_120kev_5mm_seed303
73,selected_rebuild,material,Calcite,mono_120kev,5.0,404,0,2.860,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calcite_mono_120kev_5mm_seed404.txt,ms_selected_rebuild_calcite_mono_120kev_5mm_seed404
74,selected_rebuild,material,Calcite,mono_120kev,5.0,505,0,2.993,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calcite_mono_120kev_5mm_seed505.txt,ms_selected_rebuild_calcite_mono_120kev_5mm_seed505
75,selected_rebuild,material,Calcite,mono_40kev,10.0,101,0,2.793,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calcite_mono_40kev_10mm_seed101.txt,ms_selected_rebuild_calcite_mono_40kev_10mm_seed101
76,selected_rebuild,material,Calcite,mono_40kev,10.0,202,0,2.727,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calcite_mono_40kev_10mm_seed202.txt,ms_selected_rebuild_calcite_mono_40kev_10mm_seed202
77,selected_rebuild,material,Calcite,mono_40kev,10.0,303,0,2.667,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calcite_mono_40kev_10mm_seed303.txt,ms_selected_rebuild_calcite_mono_40kev_10mm_seed303
78,selected_rebuild,material,Calcite,mono_40kev,10.0,404,0,2.577,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calcite_mono_40kev_10mm_seed404.txt,ms_selected_rebuild_calcite_mono_40kev_10mm_seed404
79,selected_rebuild,material,Calcite,mono_40kev,10.0,505,0,2.969,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calcite_mono_40kev_10mm_seed505.txt,ms_selected_rebuild_calcite_mono_40kev_10mm_seed505
80,selected_rebuild,material,Calcite,mono_50kev,10.0,101,0,2.973,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calcite_mono_50kev_10mm_seed101.txt,ms_selected_rebuild_calcite_mono_50kev_10mm_seed101
81,selected_rebuild,material,Calcite,mono_50kev,10.0,202,0,2.876,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calcite_mono_50kev_10mm_seed202.txt,ms_selected_rebuild_calcite_mono_50kev_10mm_seed202
82,selected_rebuild,material,Calcite,mono_50kev,10.0,303,0,2.815,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calcite_mono_50kev_10mm_seed303.txt,ms_selected_rebuild_calcite_mono_50kev_10mm_seed303
83,selected_rebuild,material,Calcite,mono_50kev,10.0,404,0,3.070,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calcite_mono_50kev_10mm_seed404.txt,ms_selected_rebuild_calcite_mono_50kev_10mm_seed404
