row_index,profile,run_role,material,source_id,thickness_mm,random_seed,returncode,elapsed_seconds,config_path,output_prefix
45,full,material,Calcite,mono_60kev,10.0,101,0,3.749,source_models/config/material_sorting_matrix/full/ms_full_calcite_mono_60kev_10mm_seed101.txt,ms_full_calcite_mono_60kev_10mm_seed101
46,full,material,Calcite,mono_60kev,10.0,202,0,3.640,source_models/config/material_sorting_matrix/full/ms_full_calcite_mono_60kev_10mm_seed202.txt,ms_full_calcite_mono_60kev_10mm_seed202
47,full,material,Calcite,mono_60kev,10.0,303,0,2.909,source_models/config/material_sorting_matrix/full/ms_full_calcite_mono_60kev_10mm_seed303.txt,ms_full_calcite_mono_60kev_10mm_seed303
48,full,material,Calcite,mono_100kev,10.0,101,0,2.900,source_models/config/material_sorting_matrix/full/ms_full_calcite_mono_100kev_10mm_seed101.txt,ms_full_calcite_mono_100kev_10mm_seed101
49,full,material,Calcite,mono_100kev,10.0,202,0,2.926,source_models/config/material_sorting_matrix/full/ms_full_calcite_mono_100kev_10mm_seed202.txt,ms_full_calcite_mono_100kev_10mm_seed202
50,full,material,Calcite,mono_100kev,10.0,303,0,3.490,source_models/config/material_sorting_matrix/full/ms_full_calcite_mono_100kev_10mm_seed303.txt,ms_full_calcite_mono_100kev_10mm_seed303
51,full,material,Calcite,spectrum_120kv,10.0,101,0,3.863,source_models/config/material_sorting_matrix/full/ms_full_calcite_spectrum_120kv_10mm_seed101.txt,ms_full_calcite_spectrum_120kv_10mm_seed101
52,full,material,Calcite,spectrum_120kv,10.0,202,0,3.678,source_models/config/material_sorting_matrix/full/ms_full_calcite_spectrum_120kv_10mm_seed202.txt,ms_full_calcite_spectrum_120kv_10mm_seed202
53,full,material,Calcite,spectrum_120kv,10.0,303,0,2.791,source_models/config/material_sorting_matrix/full/ms_full_calcite_spectrum_120kv_10mm_seed303.txt,ms_full_calcite_spectrum_120kv_10mm_seed303
54,full,material,Calcite,mono_60kev,20.0,101,0,2.842,source_models/config/material_sorting_matrix/full/ms_full_calcite_mono_60kev_20mm_seed101.txt,ms_full_calcite_mono_60kev_20mm_seed101
55,full,material,Calcite,mono_60kev,20.0,202,0,2.944,source_models/config/material_sorting_matrix/full/ms_full_calcite_mono_60kev_20mm_seed202.txt,ms_full_calcite_mono_60kev_20mm_seed202
56,full,material,Calcite,mono_60kev,20.0,303,0,2.951,source_models/config/material_sorting_matrix/full/ms_full_calcite_mono_60kev_20mm_seed303.txt,ms_full_calcite_mono_60kev_20mm_seed303
57,full,material,Calcite,mono_100kev,20.0,101,0,2.848,source_models/config/material_sorting_matrix/full/ms_full_calcite_mono_100kev_20mm_seed101.txt,ms_full_calcite_mono_100kev_20mm_seed101
58,full,material,Calcite,mono_100kev,20.0,202,0,2.982,source_models/config/material_sorting_matrix/full/ms_full_calcite_mono_100kev_20mm_seed202.txt,ms_full_calcite_mono_100kev_20mm_seed202
59,full,material,Calcite,mono_100kev,20.0,303,0,2.872,source_models/config/material_sorting_matrix/full/ms_full_calcite_mono_100kev_20mm_seed303.txt,ms_full_calcite_mono_100kev_20mm_seed303
60,full,material,Calcite,spectrum_120kv,20.0,101,0,2.771,source_models/config/material_sorting_matrix/full/ms_full_calcite_spectrum_120kv_20mm_seed101.txt,ms_full_calcite_spectrum_120kv_20mm_seed101
61,full,material,Calcite,spectrum_120kv,20.0,202,0,2.761,source_models/config/material_sorting_matrix/full/ms_full_calcite_spectrum_120kv_20mm_seed202.txt,ms_full_calcite_spectrum_120kv_20mm_seed202
62,full,material,Calcite,spectrum_120kv,20.0,303,0,2.837,source_models/config/material_sorting_matrix/full/ms_full_calcite_spectrum_120kv_20mm_seed303.txt,ms_full_calcite_spectrum_120kv_20mm_seed303
63,full,material,Orthoclase,mono_60kev,5.0,101,0,3.208,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_mono_60kev_5mm_seed101.txt,ms_full_orthoclase_mono_60kev_5mm_seed101
64,full,material,Orthoclase,mono_60kev,5.0,202,0,3.160,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_mono_60kev_5mm_seed202.txt,ms_full_orthoclase_mono_60kev_5mm_seed202
65,full,material,Orthoclase,mono_60kev,5.0,303,0,3.305,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_mono_60kev_5mm_seed303.txt,ms_full_orthoclase_mono_60kev_5mm_seed303
