row_index,profile,run_role,material,source_id,thickness_mm,random_seed,returncode,elapsed_seconds,config_path,output_prefix
51,sr2,material,Quartz,mono_120kev,10.0,909,0,2.849,source_models/config/material_sorting_matrix/sr2/ms_sr2_quartz_mono_120kev_10mm_seed909.txt,ms_sr2_quartz_mono_120kev_10mm_seed909
52,sr2,material,Quartz,mono_120kev,10.0,1001,0,3.013,source_models/config/material_sorting_matrix/sr2/ms_sr2_quartz_mono_120kev_10mm_seed1001.txt,ms_sr2_quartz_mono_120kev_10mm_seed1001
53,sr2,material,Quartz,mono_120kev,10.0,1102,0,2.949,source_models/config/material_sorting_matrix/sr2/ms_sr2_quartz_mono_120kev_10mm_seed1102.txt,ms_sr2_quartz_mono_120kev_10mm_seed1102
54,sr2,material,Quartz,mono_40kev,20.0,606,0,2.892,source_models/config/material_sorting_matrix/sr2/ms_sr2_quartz_mono_40kev_20mm_seed606.txt,ms_sr2_quartz_mono_40kev_20mm_seed606
55,sr2,material,Quartz,mono_40kev,20.0,707,0,2.827,source_models/config/material_sorting_matrix/sr2/ms_sr2_quartz_mono_40kev_20mm_seed707.txt,ms_sr2_quartz_mono_40kev_20mm_seed707
56,sr2,material,Quartz,mono_40kev,20.0,808,0,2.713,source_models/config/material_sorting_matrix/sr2/ms_sr2_quartz_mono_40kev_20mm_seed808.txt,ms_sr2_quartz_mono_40kev_20mm_seed808
57,sr2,material,Quartz,mono_40kev,20.0,909,0,2.773,source_models/config/material_sorting_matrix/sr2/ms_sr2_quartz_mono_40kev_20mm_seed909.txt,ms_sr2_quartz_mono_40kev_20mm_seed909
58,sr2,material,Quartz,mono_40kev,20.0,1001,0,2.802,source_models/config/material_sorting_matrix/sr2/ms_sr2_quartz_mono_40kev_20mm_seed1001.txt,ms_sr2_quartz_mono_40kev_20mm_seed1001
59,sr2,material,Quartz,mono_40kev,20.0,1102,0,2.790,source_models/config/material_sorting_matrix/sr2/ms_sr2_quartz_mono_40kev_20mm_seed1102.txt,ms_sr2_quartz_mono_40kev_20mm_seed1102
60,sr2,material,Quartz,mono_50kev,20.0,606,0,2.753,source_models/config/material_sorting_matrix/sr2/ms_sr2_quartz_mono_50kev_20mm_seed606.txt,ms_sr2_quartz_mono_50kev_20mm_seed606
61,sr2,material,Quartz,mono_50kev,20.0,707,0,3.246,source_models/config/material_sorting_matrix/sr2/ms_sr2_quartz_mono_50kev_20mm_seed707.txt,ms_sr2_quartz_mono_50kev_20mm_seed707
62,sr2,material,Quartz,mono_50kev,20.0,808,0,3.642,source_models/config/material_sorting_matrix/sr2/ms_sr2_quartz_mono_50kev_20mm_seed808.txt,ms_sr2_quartz_mono_50kev_20mm_seed808
63,sr2,material,Quartz,mono_50kev,20.0,909,0,3.327,source_models/config/material_sorting_matrix/sr2/ms_sr2_quartz_mono_50kev_20mm_seed909.txt,ms_sr2_quartz_mono_50kev_20mm_seed909
64,sr2,material,Quartz,mono_50kev,20.0,1001,0,3.710,source_models/config/material_sorting_matrix/sr2/ms_sr2_quartz_mono_50kev_20mm_seed1001.txt,ms_sr2_quartz_mono_50kev_20mm_seed1001
65,sr2,material,Quartz,mono_50kev,20.0,1102,0,3.963,source_models/config/material_sorting_matrix/sr2/ms_sr2_quartz_mono_50kev_20mm_seed1102.txt,ms_sr2_quartz_mono_50kev_20mm_seed1102
66,sr2,material,Quartz,mono_120kev,20.0,606,0,3.909,source_models/config/material_sorting_matrix/sr2/ms_sr2_quartz_mono_120kev_20mm_seed606.txt,ms_sr2_quartz_mono_120kev_20mm_seed606
67,sr2,material,Quartz,mono_120kev,20.0,707,0,4.352,source_models/config/material_sorting_matrix/sr2/ms_sr2_quartz_mono_120kev_20mm_seed707.txt,ms_sr2_quartz_mono_120kev_20mm_seed707
68,sr2,material,Quartz,mono_120kev,20.0,808,0,3.861,source_models/config/material_sorting_matrix/sr2/ms_sr2_quartz_mono_120kev_20mm_seed808.txt,ms_sr2_quartz_mono_120kev_20mm_seed808
69,sr2,material,Quartz,mono_120kev,20.0,909,0,3.333,source_models/config/material_sorting_matrix/sr2/ms_sr2_quartz_mono_120kev_20mm_seed909.txt,ms_sr2_quartz_mono_120kev_20mm_seed909
70,sr2,material,Quartz,mono_120kev,20.0,1001,0,3.023,source_models/config/material_sorting_matrix/sr2/ms_sr2_quartz_mono_120kev_20mm_seed1001.txt,ms_sr2_quartz_mono_120kev_20mm_seed1001
71,sr2,material,Quartz,mono_120kev,20.0,1102,0,3.053,source_models/config/material_sorting_matrix/sr2/ms_sr2_quartz_mono_120kev_20mm_seed1102.txt,ms_sr2_quartz_mono_120kev_20mm_seed1102
72,sr2,material,Calcite,mono_40kev,5.0,606,0,3.102,source_models/config/material_sorting_matrix/sr2/ms_sr2_calcite_mono_40kev_5mm_seed606.txt,ms_sr2_calcite_mono_40kev_5mm_seed606
73,sr2,material,Calcite,mono_40kev,5.0,707,0,2.910,source_models/config/material_sorting_matrix/sr2/ms_sr2_calcite_mono_40kev_5mm_seed707.txt,ms_sr2_calcite_mono_40kev_5mm_seed707
74,sr2,material,Calcite,mono_40kev,5.0,808,0,2.947,source_models/config/material_sorting_matrix/sr2/ms_sr2_calcite_mono_40kev_5mm_seed808.txt,ms_sr2_calcite_mono_40kev_5mm_seed808
75,sr2,material,Calcite,mono_40kev,5.0,909,0,2.923,source_models/config/material_sorting_matrix/sr2/ms_sr2_calcite_mono_40kev_5mm_seed909.txt,ms_sr2_calcite_mono_40kev_5mm_seed909
76,sr2,material,Calcite,mono_40kev,5.0,1001,0,3.082,source_models/config/material_sorting_matrix/sr2/ms_sr2_calcite_mono_40kev_5mm_seed1001.txt,ms_sr2_calcite_mono_40kev_5mm_seed1001
77,sr2,material,Calcite,mono_40kev,5.0,1102,0,2.901,source_models/config/material_sorting_matrix/sr2/ms_sr2_calcite_mono_40kev_5mm_seed1102.txt,ms_sr2_calcite_mono_40kev_5mm_seed1102
78,sr2,material,Calcite,mono_50kev,5.0,606,0,3.002,source_models/config/material_sorting_matrix/sr2/ms_sr2_calcite_mono_50kev_5mm_seed606.txt,ms_sr2_calcite_mono_50kev_5mm_seed606
79,sr2,material,Calcite,mono_50kev,5.0,707,0,2.943,source_models/config/material_sorting_matrix/sr2/ms_sr2_calcite_mono_50kev_5mm_seed707.txt,ms_sr2_calcite_mono_50kev_5mm_seed707
80,sr2,material,Calcite,mono_50kev,5.0,808,0,3.122,source_models/config/material_sorting_matrix/sr2/ms_sr2_calcite_mono_50kev_5mm_seed808.txt,ms_sr2_calcite_mono_50kev_5mm_seed808
81,sr2,material,Calcite,mono_50kev,5.0,909,0,2.934,source_models/config/material_sorting_matrix/sr2/ms_sr2_calcite_mono_50kev_5mm_seed909.txt,ms_sr2_calcite_mono_50kev_5mm_seed909
82,sr2,material,Calcite,mono_50kev,5.0,1001,0,3.072,source_models/config/material_sorting_matrix/sr2/ms_sr2_calcite_mono_50kev_5mm_seed1001.txt,ms_sr2_calcite_mono_50kev_5mm_seed1001
83,sr2,material,Calcite,mono_50kev,5.0,1102,0,3.134,source_models/config/material_sorting_matrix/sr2/ms_sr2_calcite_mono_50kev_5mm_seed1102.txt,ms_sr2_calcite_mono_50kev_5mm_seed1102
84,sr2,material,Calcite,mono_120kev,5.0,606,0,3.028,source_models/config/material_sorting_matrix/sr2/ms_sr2_calcite_mono_120kev_5mm_seed606.txt,ms_sr2_calcite_mono_120kev_5mm_seed606
85,sr2,material,Calcite,mono_120kev,5.0,707,0,3.029,source_models/config/material_sorting_matrix/sr2/ms_sr2_calcite_mono_120kev_5mm_seed707.txt,ms_sr2_calcite_mono_120kev_5mm_seed707
86,sr2,material,Calcite,mono_120kev,5.0,808,0,3.033,source_models/config/material_sorting_matrix/sr2/ms_sr2_calcite_mono_120kev_5mm_seed808.txt,ms_sr2_calcite_mono_120kev_5mm_seed808
87,sr2,material,Calcite,mono_120kev,5.0,909,0,3.361,source_models/config/material_sorting_matrix/sr2/ms_sr2_calcite_mono_120kev_5mm_seed909.txt,ms_sr2_calcite_mono_120kev_5mm_seed909
