material,predicted_material,top1_probability,top2_probability,margin,centroid_distance,decision,review_reason,top3_candidates,is_correct
Chalcopyrite,Pyrite,0.2943766107442556,0.21618846500590502,0.07818814573835056,3.64796780125764,review_unknown_or_ambiguous,low_probability;small_top1_top2_margin,Pyrite;Hematite;Magnetite,False
Chalcopyrite,Pyrite,0.5587744353539897,0.11555057608738852,0.44322385926660124,4.247093411143727,review_unknown_or_ambiguous,low_probability,Pyrite;Chalcopyrite;Magnetite,False
Chalcopyrite,Hematite,0.34016934069218224,0.19010301379178665,0.1500663269003956,2.3745653628591934,review_unknown_or_ambiguous,low_probability,Hematite;Magnetite;Pyrite,False
Chalcopyrite,Hematite,0.23554993772551244,0.22467141758223894,0.010878520143273507,2.164606399831376,review_unknown_or_ambiguous,low_probability;small_top1_top2_margin,Hematite;Magnetite;Chalcopyrite,False
Chalcopyrite,Pyrite,0.38007882277646576,0.2125857304504046,0.16749309232606116,7.200628987081591,review_unknown_or_ambiguous,low_probability,Pyrite;Chalcopyrite;Magnetite,False
Chalcopyrite,Pyrite,0.366966133926925,0.19515549429381338,0.17181063963311163,2.0991374125847706,review_unknown_or_ambiguous,low_probability,Pyrite;Chalcopyrite;Magnetite,False
Chalcopyrite,Pyrite,0.2707768649853372,0.2531856267336716,0.017591238251665586,2.907887347823133,review_unknown_or_ambiguous,low_probability;small_top1_top2_margin,Pyrite;Chalcopyrite;Hematite,False
Chalcopyrite,Chalcopyrite,0.36420922245478,0.19003805509763258,0.1741711673571474,5.9356015892632,review_unknown_or_ambiguous,low_probability,Chalcopyrite;Magnetite;Hematite,True
Chalcopyrite,Pyrite,0.343409558740085,0.30142108895541314,0.041988469784671856,4.574623136655775,review_unknown_or_ambiguous,low_probability;small_top1_top2_margin,Pyrite;Chalcopyrite;Magnetite,False
Chalcopyrite,Chalcopyrite,0.3657401532086962,0.2925065588473358,0.0732335943613604,6.638536963239967,review_unknown_or_ambiguous,low_probability;small_top1_top2_margin,Chalcopyrite;Pyrite;Magnetite,True
Chalcopyrite,Pyrite,0.34280484411096007,0.1771660474119259,0.16563879669903417,1.939685134673197,review_unknown_or_ambiguous,low_probability,Pyrite;Hematite;Chalcopyrite,False
Chalcopyrite,Pyrite,0.5944142317828355,0.10353492356407736,0.49087930821875814,4.259652769817777,review_unknown_or_ambiguous,low_probability,Pyrite;Chalcopyrite;Hematite,False
Chalcopyrite,Magnetite,0.2292455344126735,0.21976206746265983,0.009483466950013675,2.6006845123300675,review_unknown_or_ambiguous,low_probability;small_top1_top2_margin,Magnetite;Hematite;Chalcopyrite,False
Chalcopyrite,Hematite,0.30417184887541165,0.21846482072300022,0.08570702815241144,1.3704129252359798,review_unknown_or_ambiguous,low_probability;small_top1_top2_margin,Hematite;Magnetite;Chalcopyrite,False
Chalcopyrite,Hematite,0.24554513802930375,0.2405660010060798,0.004979137023223945,3.2130677394038907,review_unknown_or_ambiguous,low_probability;small_top1_top2_margin,Hematite;Magnetite;Chalcopyrite,False
Chalcopyrite,Pyrite,0.3718583680671668,0.23054684977178322,0.1413115182953836,3.245000349897062,review_unknown_or_ambiguous,low_probability;small_top1_top2_margin,Pyrite;Hematite;Chalcopyrite,False
Chalcopyrite,Chalcopyrite,0.5046100299386688,0.15102981147119032,0.35358021846747845,3.480822541995516,review_unknown_or_ambiguous,low_probability,Chalcopyrite;Magnetite;Hematite,True
Chalcopyrite,Chalcopyrite,0.2682281835468418,0.23286475416307506,0.03536342938376674,1.4147749496724216,review_unknown_or_ambiguous,low_probability;small_top1_top2_margin,Chalcopyrite;Magnetite;Hematite,True
Chalcopyrite,Magnetite,0.2533595210694543,0.21211866675903693,0.04124085431041738,2.015434143983081,review_unknown_or_ambiguous,low_probability;small_top1_top2_margin,Magnetite;Hematite;Chalcopyrite,False
Dolomite,Calcite,0.37891415031630804,0.2552996694128915,0.12361448090341653,1.9951785664861674,review_unknown_or_ambiguous,low_probability;small_top1_top2_margin,Calcite;Dolomite;Orthoclase,False
Dolomite,Orthoclase,0.32194009571831195,0.18204835138348782,0.13989174433482413,1.989548511746373,review_unknown_or_ambiguous,low_probability;small_top1_top2_margin,Orthoclase;Quartz;Dolomite,False
Dolomite,Dolomite,0.43539418951944,0.14605091683248428,0.2893432726869557,2.4446765832729476,review_unknown_or_ambiguous,low_probability,Dolomite;Orthoclase;Quartz,True
Dolomite,Calcite,0.4237965724248928,0.2929057937913596,0.1308907786335332,4.149776796297316,review_unknown_or_ambiguous,low_probability;small_top1_top2_margin,Calcite;Dolomite;Magnetite,False
Dolomite,Dolomite,0.4781655791249884,0.23818277621056902,0.2399828029144194,3.477529610309092,review_unknown_or_ambiguous,low_probability,Dolomite;Calcite;Magnetite,True
Dolomite,Dolomite,0.36019239230688305,0.22261735268931823,0.13757503961756481,3.2031732328263067,review_unknown_or_ambiguous,low_probability;small_top1_top2_margin,Dolomite;Calcite;Orthoclase,True
Dolomite,Calcite,0.5559944490757779,0.17049979468623375,0.3854946543895441,2.5451541578980974,review_unknown_or_ambiguous,low_probability,Calcite;Dolomite;Magnetite,False
Dolomite,Dolomite,0.471186760567579,0.1631734945257178,0.3080132660418612,2.321690634032429,review_unknown_or_ambiguous,low_probability,Dolomite;Calcite;Magnetite,True
Dolomite,Orthoclase,0.3769130855633429,0.20818837729372697,0.16872470826961594,1.8832532365785717,review_unknown_or_ambiguous,low_probability,Orthoclase;Dolomite;Quartz,False
Dolomite,Dolomite,0.3810388300652263,0.3193525827369848,0.06168624732824152,2.544892271277679,review_unknown_or_ambiguous,low_probability;small_top1_top2_margin,Dolomite;Calcite;Magnetite,True
Dolomite,Calcite,0.4006042555314722,0.29925596480302347,0.10134829072844875,3.577811298083587,review_unknown_or_ambiguous,low_probability;small_top1_top2_margin,Calcite;Dolomite;Magnetite,False
Dolomite,Dolomite,0.5367132805287863,0.11221141999022231,0.424501860538564,1.6737184731718582,review_unknown_or_ambiguous,low_probability,Dolomite;Calcite;Orthoclase,True
Dolomite,Orthoclase,0.26986847609098125,0.2236440937233597,0.04622438236762155,2.960532974571704,review_unknown_or_ambiguous,low_probability;small_top1_top2_margin,Orthoclase;Quartz;Albite,False
Dolomite,Calcite,0.6843564889025481,0.05448086202656249,0.6298756268759855,3.0713395885401757,auto_sort,,Calcite;Magnetite;Dolomite,False
Dolomite,Dolomite,0.3692715184209721,0.1547828224415078,0.21448869597946432,4.299302171291758,review_unknown_or_ambiguous,low_probability,Dolomite;Orthoclase;Quartz,True
Dolomite,Dolomite,0.26560005119940217,0.22697029610265596,0.03862975509674621,4.789906151145838,review_unknown_or_ambiguous,low_probability;small_top1_top2_margin,Dolomite;Orthoclase;Calcite,True
Dolomite,Dolomite,0.4633414973905842,0.16073888325820468,0.30260261413237954,2.350745068986593,review_unknown_or_ambiguous,low_probability,Dolomite;Calcite;Orthoclase,True
Dolomite,Albite,0.3729780043951692,0.18891440246827482,0.1840636019268944,2.591299094595049,review_unknown_or_ambiguous,low_probability,Albite;Orthoclase;Quartz,False
Dolomite,Dolomite,0.5927709380186963,0.10282828071697263,0.48994265730172365,3.0191266411270883,review_unknown_or_ambiguous,low_probability,Dolomite;Orthoclase;Magnetite,True
Dolomite,Calcite,0.40038843246261635,0.30697562693994485,0.0934128055226715,2.4252424658057157,review_unknown_or_ambiguous,low_probability;small_top1_top2_margin,Calcite;Dolomite;Magnetite,False
Dolomite,Dolomite,0.4069384867075589,0.18478918423349508,0.2221493024740638,1.688529559897294,review_unknown_or_ambiguous,low_probability,Dolomite;Calcite;Orthoclase,True
Dolomite,Orthoclase,0.42413059729895647,0.19972860424013053,0.22440199305882594,2.2451365959196674,review_unknown_or_ambiguous,low_probability,Orthoclase;Dolomite;Quartz,False
Dolomite,Calcite,0.5115567913231859,0.1968239355150481,0.3147328558081378,2.1203815589124106,review_unknown_or_ambiguous,low_probability,Calcite;Dolomite;Magnetite,False
Dolomite,Dolomite,0.43450467126929265,0.1365324854464054,0.29797218582288726,7.499860528706639,review_unknown_or_ambiguous,low_probability,Dolomite;Calcite;Orthoclase,True
Dolomite,Orthoclase,0.3852241980298729,0.15830146032426953,0.22692273770560337,1.7464827848745332,review_unknown_or_ambiguous,low_probability,Orthoclase;Quartz;Dolomite,False
Galena,Galena,0.6791963026716553,0.06379547483332092,0.6154008278383344,2.194665851084861e-15,auto_sort,,Galena;Magnetite;Hematite,True
Galena,Galena,0.6791963026716553,0.06379547483332092,0.6154008278383344,2.194665851084861e-15,auto_sort,,Galena;Magnetite;Hematite,True
Galena,Galena,0.6791963026716553,0.06379547483332092,0.6154008278383344,2.194665851084861e-15,auto_sort,,Galena;Magnetite;Hematite,True
Galena,Galena,0.6791963026716553,0.06379547483332092,0.6154008278383344,2.194665851084861e-15,auto_sort,,Galena;Magnetite;Hematite,True
Galena,Galena,0.6791963026716553,0.06379547483332092,0.6154008278383344,2.194665851084861e-15,auto_sort,,Galena;Magnetite;Hematite,True
Galena,Galena,0.6791963026716553,0.06379547483332092,0.6154008278383344,2.194665851084861e-15,auto_sort,,Galena;Magnetite;Hematite,True
Galena,Galena,0.6791963026716553,0.06379547483332092,0.6154008278383344,2.194665851084861e-15,auto_sort,,Galena;Magnetite;Hematite,True
Galena,Galena,0.6791963026716553,0.06379547483332092,0.6154008278383344,2.194665851084861e-15,auto_sort,,Galena;Magnetite;Hematite,True
Galena,Galena,0.6791963026716553,0.06379547483332092,0.6154008278383344,2.194665851084861e-15,auto_sort,,Galena;Magnetite;Hematite,True
Galena,Galena,0.6791963026716553,0.06379547483332092,0.6154008278383344,2.194665851084861e-15,auto_sort,,Galena;Magnetite;Hematite,True
Galena,Galena,0.6791963026716553,0.06379547483332092,0.6154008278383344,2.194665851084861e-15,auto_sort,,Galena;Magnetite;Hematite,True
Galena,Galena,0.6791963026716553,0.06379547483332092,0.6154008278383344,2.194665851084861e-15,auto_sort,,Galena;Magnetite;Hematite,True
Galena,Galena,0.6791963026716553,0.06379547483332092,0.6154008278383344,2.194665851084861e-15,auto_sort,,Galena;Magnetite;Hematite,True
Galena,Galena,0.6791963026716553,0.06379547483332092,0.6154008278383344,2.194665851084861e-15,auto_sort,,Galena;Magnetite;Hematite,True
Galena,Galena,0.6791963026716553,0.06379547483332092,0.6154008278383344,2.194665851084861e-15,auto_sort,,Galena;Magnetite;Hematite,True
Galena,Galena,0.6791963026716553,0.06379547483332092,0.6154008278383344,2.194665851084861e-15,auto_sort,,Galena;Magnetite;Hematite,True
Galena,Galena,0.6791963026716553,0.06379547483332092,0.6154008278383344,2.194665851084861e-15,auto_sort,,Galena;Magnetite;Hematite,True
Galena,Galena,0.6791963026716553,0.06379547483332092,0.6154008278383344,2.194665851084861e-15,auto_sort,,Galena;Magnetite;Hematite,True
Galena,Galena,0.6791963026716553,0.06379547483332092,0.6154008278383344,2.194665851084861e-15,auto_sort,,Galena;Magnetite;Hematite,True
Galena,Galena,0.6791963026716553,0.06379547483332092,0.6154008278383344,2.194665851084861e-15,auto_sort,,Galena;Magnetite;Hematite,True
Galena,Galena,0.6791963026716553,0.06379547483332092,0.6154008278383344,2.194665851084861e-15,auto_sort,,Galena;Magnetite;Hematite,True
Galena,Galena,0.6791963026716553,0.06379547483332092,0.6154008278383344,2.194665851084861e-15,auto_sort,,Galena;Magnetite;Hematite,True
Galena,Galena,0.6791963026716553,0.06379547483332092,0.6154008278383344,2.194665851084861e-15,auto_sort,,Galena;Magnetite;Hematite,True
Galena,Galena,0.6791963026716553,0.06379547483332092,0.6154008278383344,2.194665851084861e-15,auto_sort,,Galena;Magnetite;Hematite,True
Galena,Galena,0.6791963026716553,0.06379547483332092,0.6154008278383344,2.194665851084861e-15,auto_sort,,Galena;Magnetite;Hematite,True
Hematite,Chalcopyrite,0.28509714798548674,0.18510732712676217,0.09998982085872457,3.1785029311349704,review_unknown_or_ambiguous,low_probability;small_top1_top2_margin,Chalcopyrite;Hematite;Magnetite,False
Hematite,Magnetite,0.27194278606906686,0.2107161881341413,0.06122659793492555,3.0024415599306007,review_unknown_or_ambiguous,low_probability;small_top1_top2_margin,Magnetite;Hematite;Chalcopyrite,False
Hematite,Pyrite,0.32009603440829376,0.1751461849086959,0.14494984949959785,2.0150714075168086,review_unknown_or_ambiguous,low_probability;small_top1_top2_margin,Pyrite;Hematite;Chalcopyrite,False
Hematite,Galena,0.6791963026716553,0.06379547483332092,0.6154008278383344,2.194665851084861e-15,auto_sort,,Galena;Magnetite;Hematite,False
Hematite,Chalcopyrite,0.5715185001031693,0.10422321468216318,0.4672952854210061,3.028036964210022,review_unknown_or_ambiguous,low_probability,Chalcopyrite;Magnetite;Hematite,False
Hematite,Pyrite,0.2314307248530688,0.22746077352032398,0.003969951332744803,2.311860300837886,review_unknown_or_ambiguous,low_probability;small_top1_top2_margin,Pyrite;Magnetite;Hematite,False
Hematite,Pyrite,0.30292084858828505,0.2019179634484153,0.10100288513986974,3.894613946929074,review_unknown_or_ambiguous,low_probability;small_top1_top2_margin,Pyrite;Hematite;Magnetite,False
Hematite,Pyrite,0.30689030687782576,0.20694406443228483,0.09994624244554093,2.7209152375260324,review_unknown_or_ambiguous,low_probability;small_top1_top2_margin,Pyrite;Chalcopyrite;Hematite,False
Hematite,Hematite,0.34016934069218224,0.19010301379178665,0.1500663269003956,2.3745653628591934,review_unknown_or_ambiguous,low_probability,Hematite;Magnetite;Pyrite,True
Hematite,Magnetite,0.26291208512618774,0.22394959037152926,0.03896249475465849,9.800879159448622,review_unknown_or_ambiguous,low_probability;small_top1_top2_margin;far_from_training_centroid,Magnetite;Hematite;Chalcopyrite,False
Hematite,Chalcopyrite,0.25767925462186403,0.2450348597780837,0.012644394843780327,8.32230007498792,review_unknown_or_ambiguous,low_probability;small_top1_top2_margin;far_from_training_centroid,Chalcopyrite;Pyrite;Hematite,False
Hematite,Hematite,0.25504377834122277,0.21357610213174819,0.041467676209474585,2.020804347182667,review_unknown_or_ambiguous,low_probability;small_top1_top2_margin,Hematite;Pyrite;Chalcopyrite,True
Hematite,Chalcopyrite,0.3082348165684787,0.27138017232998435,0.03685464423849433,2.9231531374390425,review_unknown_or_ambiguous,low_probability;small_top1_top2_margin,Chalcopyrite;Pyrite;Magnetite,False
Hematite,Chalcopyrite,0.36563613830017605,0.1886404223298294,0.17699571597034666,6.432682506180766,review_unknown_or_ambiguous,low_probability,Chalcopyrite;Magnetite;Hematite,False
Hematite,Chalcopyrite,0.5516277503543981,0.11392303118369772,0.4377047191707004,1.8855779469025777,review_unknown_or_ambiguous,low_probability,Chalcopyrite;Hematite;Magnetite,False
Hematite,Pyrite,0.39351598098385504,0.26531788563144737,0.12819809535240767,7.381964613993708,review_unknown_or_ambiguous,low_probability;small_top1_top2_margin,Pyrite;Chalcopyrite;Magnetite,False
Hematite,Magnetite,0.2840536436140762,0.23317050037383732,0.050883143240238876,1.996985260609354,review_unknown_or_ambiguous,low_probability;small_top1_top2_margin,Magnetite;Hematite;Pyrite,False
Hematite,Chalcopyrite,0.220224036607772,0.20370688171849385,0.016517154889278157,3.011261615108942,review_unknown_or_ambiguous,low_probability;small_top1_top2_margin,Chalcopyrite;Pyrite;Magnetite,False
Hematite,Magnetite,0.2292455344126735,0.21976206746265983,0.009483466950013675,2.6006845123300675,review_unknown_or_ambiguous,low_probability;small_top1_top2_margin,Magnetite;Hematite;Chalcopyrite,False
Hematite,Pyrite,0.4369247540132992,0.2088317405365542,0.22809301347674502,5.168367548151301,review_unknown_or_ambiguous,low_probability,Pyrite;Chalcopyrite;Hematite,False
Hematite,Magnetite,0.26267442315114603,0.20979171814704212,0.052882705004103914,3.2078680105673403,review_unknown_or_ambiguous,low_probability;small_top1_top2_margin,Magnetite;Chalcopyrite;Hematite,False
Hematite,Pyrite,0.4478380105735292,0.18360523832694967,0.2642327722465795,3.0538729585939226,review_unknown_or_ambiguous,low_probability,Pyrite;Hematite;Chalcopyrite,False
Hematite,Magnetite,0.2628936369035521,0.2297286713850728,0.033164965518479306,2.3347238169016773,review_unknown_or_ambiguous,low_probability;small_top1_top2_margin,Magnetite;Chalcopyrite;Hematite,False
Hematite,Chalcopyrite,0.3885144812321116,0.3011046542974202,0.08740982693469135,3.41700085757618,review_unknown_or_ambiguous,low_probability;small_top1_top2_margin,Chalcopyrite;Pyrite;Magnetite,False
Hematite,Magnetite,0.2363548060162358,0.2278713425622176,0.00848346345401818,2.0061670339031434,review_unknown_or_ambiguous,low_probability;small_top1_top2_margin,Magnetite;Hematite;Pyrite,False
Magnetite,Pyrite,0.3441299066029024,0.21669613817253106,0.12743376843037132,11.478852888860082,review_unknown_or_ambiguous,low_probability;small_top1_top2_margin;far_from_training_centroid,Pyrite;Chalcopyrite;Magnetite,False
Magnetite,Magnetite,0.27194278606906686,0.2107161881341413,0.06122659793492555,3.0024415599306007,review_unknown_or_ambiguous,low_probability;small_top1_top2_margin,Magnetite;Hematite;Chalcopyrite,True
Magnetite,Pyrite,0.2773141239228649,0.22913018156372003,0.04818394235914489,2.517224113103883,review_unknown_or_ambiguous,low_probability;small_top1_top2_margin,Pyrite;Hematite;Chalcopyrite,False
Magnetite,Galena,0.6791963026716553,0.06379547483332092,0.6154008278383344,2.194665851084861e-15,auto_sort,,Galena;Magnetite;Hematite,False
Magnetite,Chalcopyrite,0.3429067949159921,0.2439336352793167,0.09897315963667538,3.657019203140161,review_unknown_or_ambiguous,low_probability;small_top1_top2_margin,Chalcopyrite;Pyrite;Magnetite,False
